"시점",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (mm),상대습도 (%),상대습도 (%),평균운량 (10%),일조시간 (hr),바람 (m/s),바람 (m/s),바람 (m/s)
"시점",평균,평균최고,극점최고,평균최저,극점최저,소계,평균,최소,소계,소계,평균풍속,최대풍속,최대순간풍속
"2020. 08",26.5,29.3,34.5,24.4,21.5,675.7,85.0,49.0,8.1,74.7,2.3,8.3,15.6
"2020. 09",21.4,25.6,29.5,18.0,13.6,181.5,71.0,27.0,5.8,174.3,2.5,9.8,21.5
"2020. 10",14.3,19.5,23.6,9.6,3.2,-,61.0,20.0,3.7,227.1,2.1,7.2,13.7
"2020. 11",8.0,12.6,20.0,4.0,-3.6,120.1,64.0,18.0,4.1,171.5,2.2,8.4,15.6
"2020. 12",-0.3,3.9,11.4,-4.2,-12.9,4.6,58.0,24.0,3.3,203.6,2.2,6.5,11.7
"2021. 01",-2.4,2.2,13.9,-6.8,-18.6,18.9,58.0,19.0,3.9,176.4,2.5,8.7,17.5
"2021. 02",2.7,7.9,17.4,-2.2,-10.6,7.1,56.0,18.0,4.0,181.0,2.6,7.5,15.8
"2021. 03",9.0,14.8,22.9,4.3,-1.2,110.9,63.0,19.0,4.7,213.0,2.4,6.9,14.8
"2021. 04",14.2,19.5,28.2,9.5,3.1,124.1,54.0,18.0,4.8,208.6,2.6,7.1,12.5
"2021. 05",17.1,21.9,30.8,12.8,7.3,183.1,68.0,25.0,5.6,203.7,2.4,8.4,16.0
"2021. 06",22.8,27.6,31.6,18.9,13.3,104.6,73.0,36.0,5.6,185.5,2.2,7.8,15.0
"2021. 07",28.1,32.2,36.5,24.6,19.6,168.3,71.0,37.0,5.9,195.2,2.0,7.4,16.5
"2021. 08",25.9,29.7,33.7,22.8,18.1,211.2,74.0,39.0,7.0,127.3,2.1,8.3,16.4
"2021. 09",22.6,26.9,30.3,18.8,16.0,131.0,71.0,38.0,5.4,182.0,2.3,7.1,12.5
"2021. 10",15.6,20.5,28.8,11.6,1.3,57.0,70.0,25.0,4.7,168.4,2.1,10.6,20.9
"2021. 11",8.2,13.1,21.3,4.0,-3.7,62.4,68.0,27.0,4.2,163.6,2.1,9.3,16.6
"2021. 12",0.6,5.1,13.3,-3.5,-15.5,7.9,62.0,26.0,3.2,185.4,2.3,8.1,15.2
"2022. 01",-2.2,2.6,8.4,-6.2,-11.3,5.5,55.0,21.0,3.1,206.9,2.2,7.6,13.9
"2022. 02",-1.1,3.8,11.5,-5.3,-10.7,4.7,55.0,21.0,3.2,203.8,2.6,7.4,14.5
"2022. 03",7.7,12.7,19.5,3.2,-3.0,102.6,62.0,15.0,5.2,173.0,2.5,8.8,18.5
"2022. 04",14.8,20.6,28.7,10.0,3.5,20.4,55.0,17.0,4.1,246.4,2.7,8.4,14.5
"2022. 05",19.1,25.0,30.7,13.9,7.9,7.5,55.0,16.0,3.9,302.3,2.6,7.6,14.1
"2022. 06",23.3,27.5,32.7,19.8,14.9,393.8,73.0,18.0,6.9,131.9,2.5,9.9,20.9
"2022. 07",27.3,31.0,36.1,24.2,20.8,252.3,77.0,46.0,6.9,140.1,2.1,5.6,11.6
"2022. 08",25.7,28.9,32.9,23.1,16.1,564.8,80.0,39.0,7.3,116.3,2.3,8.6,24.9
"2022. 09",22.4,27.2,32.5,18.2,12.3,201.5,68.0,29.0,5.1,203.9,2.4,8.0,18.3
"2022. 10",14.6,19.7,27.6,10.3,4.4,124.1,69.0,25.0,4.2,216.0,2.2,6.8,13.7
"2022. 11",10.0,15.4,22.1,5.6,-8.1,84.5,65.0,23.0,3.7,187.5,2.1,6.5,12.0
"2022. 12",-2.8,1.7,10.2,-6.6,-13.7,13.6,59.0,21.0,3.4,197.1,2.3,7.4,15.0
"2023. 01",-1.5,3.2,12.5,-5.7,-17.3,47.9,63.0,25.0,3.6,190.9,2.4,7.5,13.9
"2023. 02",2.3,7.3,12.4,-1.9,-5.3,1.0,59.0,21.0,3.5,198.2,2.3,6.8,11.6
"2023. 03",9.8,16.2,25.1,4.2,-1.9,10.5,51.0,13.0,3.4,239.8,2.3,7.3,13.6
"2023. 04",13.8,19.0,28.4,8.8,3.1,96.9,60.0,14.0,5.4,182.3,2.5,9.3,18.9
"2023. 05",19.5,25.0,31.2,14.6,7.9,155.6,63.0,21.0,5.3,235.6,2.3,8.6,15.9
"2023. 06",23.4,27.9,34.0,19.7,16.6,195.6,73.0,28.0,5.7,195.1,2.2,7.5,12.6
"2023. 07",26.7,30.2,34.9,23.9,21.6,459.9,81.0,40.0,6.7,146.1,2.1,7.0,16.8
"2023. 08",27.2,30.8,35.8,24.3,20.8,298.1,76.0,47.0,6.5,156.1,2.2,8.9,18.1
"2023. 09",23.7,27.6,32.8,20.2,15.2,134.5,74.0,33.0,6.2,157.1,2.0,5.2,10.6
"2023. 10",15.8,21.0,24.6,11.5,5.4,31.0,67.0,26.0,3.7,208.7,1.9,6.4,12.1
"2023. 11",6.8,11.5,25.9,2.9,-7.3,81.9,65.0,22.0,3.8,171.9,2.6,9.1,16.9
"2023. 12",1.1,5.2,16.8,-2.5,-14.7,85.9,69.0,30.0,4.4,142.2,2.4,9.0,17.9
"2024. 01",-0.5,3.6,10.6,-3.9,-14.0,18.9,67.0,23.0,3.9,177.4,2.3,7.2,12.4
"2024. 02",3.8,8.2,18.3,0.2,-3.1,74.7,73.0,30.0,6.0,109.3,2.5,8.8,15.0
"2024. 03",7.0,12.0,23.4,2.4,-8.1,29.9,57.0,13.0,4.1,190.6,2.7,8.4,15.0
"2024. 04",16.3,22.4,29.4,11.5,5.5,33.2,56.0,14.0,4.8,209.2,2.4,7.9,13.9
"2024. 05",18.5,23.7,28.5,13.8,6.9,125.1,63.0,23.0,4.2,262.0,2.4,9.1,18.3
"2024. 06",24.6,30.1,35.8,19.9,15.7,115.9,61.0,27.0,4.2,285.6,2.2,7.2,13.6
"2024. 07",26.6,29.6,33.3,24.1,21.3,557.3,81.0,40.0,7.9,96.3,2.5,8.3,17.6
"2024. 08",29.3,33.3,36.4,26.3,22.6,72.8,73.0,40.0,4.9,179.0,2.1,8.2,13.9
"2024. 09",25.5,29.8,34.6,22.0,15.6,143.9,72.0,37.0,5.2,166.9,2.3,7.1,12.4
"2024. 10",16.7,21.4,25.7,12.7,7.1,74.0,70.0,26.0,4.7,166.4,2.0,8.0,13.6
"2024. 11",9.7,14.9,25.1,5.5,-3.4,60.0,63.0,21.0,4.0,182.9,2.0,8.1,14.1
"2024. 12",0.8,5.3,13.0,-2.9,-7.7,5.7,56.0,26.0,2.9,206.3,2.2,6.9,12.0
"2024",14.9,19.5,36.4,11.0,-14.0,1311.4,66.0,13.0,4.7,2231.9,2.3,9.1,18.3
