"시점",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (mm),상대습도 (%),상대습도 (%),평균운량 (10%),일조시간 (hr),바람 (m/s),바람 (m/s),바람 (m/s)
"시점",평균,평균최고,극점최고,평균최저,극점최저,소계,평균,최소,소계,소계,평균풍속,최대풍속,최대순간풍속
"1989. 05",17.9,23.4,29.6,13.3,8.4,41.1,64.0,13.0,5.1,241.3,2.8,9.0,18.0
"1989. 06",21.2,26.2,31.9,16.9,12.8,177.1,67.0,28.0,5.8,204.4,2.4,9.2,16.1
"1989. 07",24.5,28.5,33.3,21.2,17.3,343.5,79.0,35.0,6.8,150.7,2.1,10.7,23.1
"1989. 08",25.5,29.7,35.3,21.7,17.4,318.6,72.0,37.0,5.8,201.8,2.2,10.0,14.8
"1989. 09",20.7,25.1,29.5,16.9,10.3,101.2,73.0,33.0,6.1,177.2,2.1,9.7,12.3
"1989. 10",13.6,18.8,23.7,9.0,1.9,69.9,65.0,21.0,2.6,212.2,2.1,11.0,13.8
"1989. 11",7.1,11.2,17.4,3.5,-6.3,154.5,67.0,26.0,4.4,158.0,2.5,12.3,18.9
"1989. 12",1.4,4.9,14.7,-1.9,-8.7,12.4,68.0,25.0,3.8,137.4,2.1,8.2,15.0
"1990. 01",-3.2,0.2,7.8,-6.6,-17.1,62.2,61.0,23.0,4.5,141.7,2.4,7.3,12.3
"1990. 02",2.7,5.8,12.9,-0.1,-5.2,64.8,72.0,22.0,6.3,92.8,2.2,8.0,13.4
"1990. 03",7.2,11.5,18.8,3.6,-1.3,92.3,65.0,26.0,5.0,165.2,2.7,8.7,15.9
"1990. 04",11.3,16.3,26.3,6.7,1.6,94.2,64.0,14.0,5.0,187.2,3.0,10.2,20.4
"1990. 05",16.2,21.0,27.1,12.2,7.2,122.8,74.0,30.0,6.7,151.7,2.7,10.7,17.8
"1990. 06",20.7,24.6,29.4,17.4,13.4,497.2,81.0,34.0,7.5,108.4,2.4,11.3,16.7
"1990. 07",24.9,28.4,34.2,22.0,16.7,486.5,85.0,56.0,7.8,116.8,2.3,9.8,19.5
"1990. 08",26.4,30.9,35.5,22.8,18.5,283.5,77.0,41.0,5.0,210.3,2.0,10.5,16.2
"1990. 09",21.1,25.7,31.1,17.0,14.8,570.1,74.0,38.0,5.7,170.0,1.9,7.0,14.0
"1990. 10",15.4,21.3,27.1,10.3,6.1,-,63.0,28.0,2.4,243.1,1.8,8.7,12.2
"1990. 11",10.0,14.6,21.9,5.8,-4.9,56.0,71.0,25.0,4.2,136.3,2.1,10.0,17.5
"1990. 12",0.9,4.8,13.8,-3.0,-12.9,25.9,67.0,24.0,4.4,139.0,2.7,13.3,19.8
"1991. 01",-2.6,1.6,9.7,-6.3,-12.9,14.4,63.0,22.0,3.0,190.9,2.2,10.3,17.1
"1991. 02",-0.9,3.1,12.0,-4.6,-15.0,28.4,61.0,17.0,4.3,171.3,2.7,10.2,20.3
"1991. 03",4.9,9.6,18.9,0.7,-6.0,65.5,63.0,22.0,5.3,179.5,2.7,9.3,20.0
"1991. 04",13.0,19.1,25.6,7.6,-3.4,48.5,56.0,21.0,3.4,253.5,2.6,13.3,22.0
"1991. 05",17.5,22.8,31.1,12.7,7.4,83.2,59.0,21.0,4.4,244.0,2.9,10.2,20.0
"1991. 06",22.6,27.6,31.8,18.3,15.2,81.8,70.0,25.0,6.1,192.1,2.4,10.7,19.5
"1991. 07",24.3,27.8,32.0,21.4,18.0,487.8,84.0,45.0,7.4,117.7,2.3,11.7,18.2
"1991. 08",25.5,30.0,34.7,21.6,15.7,68.2,71.0,27.0,4.9,203.7,2.0,7.3,15.9
"1991. 09",21.1,25.5,31.0,17.3,10.1,175.2,70.0,28.0,5.3,183.7,1.7,7.7,14.2
"1991. 10",13.8,19.5,25.8,8.8,4.1,27.3,61.0,24.0,2.8,255.1,2.0,9.7,18.1
"1991. 11",6.5,10.9,17.6,2.1,-4.0,35.0,59.0,19.0,3.5,185.8,2.1,8.7,13.5
